occ,delta_e_2023,delta_DAIOE_2023,pctl_new_2023
17-2111.02,0.5219307804002278,0.2724117395291908,72.64248704663213
17-2111.03,0.5291885970579113,0.2800405712561204,74.92227979274611
17-2112.00,0.48504572377188393,0.23526935414939074,64.24870466321244
17-2112.01,0.5615847374111169,0.31537741729311314,87.15025906735751
17-2121.01,0.43462461496253557,0.1888985559313323,53.67875647668394
17-2121.02,0.5017467272732936,0.2517497783294609,68.60103626943005
17-2131.00,0.5149863188894219,0.26521090864327734,70.77720207253886
17-2141.00,0.5174776618403346,0.2677831305037397,71.70984455958549
17-2141.01,0.48460875342985393,0.23484564390083695,63.93782383419689
17-2141.02,0.49646184576645597,0.2464743643018363,66.83937823834196
17-2151.00,0.5382588922526965,0.28972263508909996,78.23834196891191
17-2161.00,0.546223371295012,0.29835997134888853,81.139896373057
17-2171.00,0.5444287658779858,0.2964026811154267,80.31088082901555
17-2199.01,0.4931845851323979,0.2432310350122154,66.11398963730569
17-2199.02,0.4999865864969808,0.24998658667690285,67.7720207253886
17-2199.03,0.5414988041015062,0.29322095484336136,79.58549222797927
17-2199.04,0.4685904340088618,0.21957699484461346,60.829015544041454
17-2199.05,0.49497225543794127,0.24499753365332258,66.32124352331606
17-2199.06,0.4920807611320345,0.24214347547628243,65.69948186528498
17-2199.07,0.45325291706458626,0.2054382068275567,57.82383419689119
17-2199.08,0.43867745044821455,0.19243790553174572,54.50777202072539
17-2199.09,0.500512378520181,0.250512641051929,67.97927461139896
17-2199.10,0.49914754880826645,0.24914827548130075,67.46113989637306
17-2199.11,0.4723765599867741,0.22313961442493838,61.347150259067355
17-3011.01,0.43742720491265025,0.1913425595976937,54.30051813471503
17-3011.02,0.4777424851210081,0.22823788208959664,62.590673575129536
17-3012.01,0.46426726266617035,0.21554409118353882,60.10362694300518
17-3012.02,0.499995672242486,0.24999567226121547,67.87564766839378
17-3013.00,0.44565135976025727,0.19860513445616626,55.854922279792746
17-3021.00,0.44514962623609633,0.19815818973813626,55.64766839378238
17-3022.00,0.47759175852606006,0.22809388781201445,62.487046632124354
17-3023.01,0.4322517995033388,0.18684161817387462,53.36787564766839
17-3023.03,0.399620960647743,0.15969691218902496,47.25388601036269
17-3024.00,0.3266518367484923,0.10670142245116367,34.61139896373057
17-3024.01,0.33367253784155537,0.1113373625096242,36.06217616580311
17-3025.00,0.4002653885940204,0.16021238130632215,47.56476683937824
17-3026.00,0.46098386574108363,0.21250612447359343,59.067357512953365
17-3027.00,0.3435333182906716,0.11801514077579986,37.92746113989637
17-3027.01,0.3581129168420453,0.12824486120911768,39.79274611398964
17-3029.01,0.35200301652409444,0.1239061236420619,38.96373056994819
17-3029.02,0.4574227817159224,0.20923560123273238,58.75647668393783
17-3029.03,0.40994760055511265,0.16805703520089418,49.740932642487046
17-3029.04,0.39979667325380924,0.15983737994481312,47.35751295336787
17-3029.05,0.4773775023173481,0.2278892797187497,62.38341968911917
17-3029.06,0.4590218673666969,0.2107010747208095,58.86010362694301
17-3029.07,0.36160279992567135,0.1307565849140851,40.41450777202073
17-3029.08,0.35755486254737906,0.12784547973127514,39.689119170984455
17-3029.09,0.33038690153157957,0.10915550470363765,35.44041450777202
17-3029.11,0.46422579054997415,0.21550558461174846,60.0
17-3029.12,0.3523273792158274,0.12413458214509344,39.067357512953365
17-3031.01,0.30421827623472864,0.09254875959522965,30.362694300518136
17-3031.02,0.4273900452375512,0.18266225076815606,52.64248704663213
19-1011.00,0.5413257552452686,0.29303357329186047,79.37823834196891
19-1012.00,0.4925805140079904,0.24263556278037604,65.90673575129534
19-1013.00,0.505041672249666,0.25506709070873906,69.01554404145078
19-1020.01,0.5114366335249507,0.26156743011133476,70.25906735751295
19-1021.00,0.5260899226073182,0.2767706066689741,74.09326424870466
19-1022.00,0.49923484785653033,0.24923543331433298,67.56476683937824
