occ,exposure_A,exposure_B,social_share,pctl_A,pctl_B,occ_title_onetsoc2010,daioe_allapps,pctl_rank_allapps,corr_A_vs_DAIOE,corr_B_vs_DAIOE
51-6064.00,18.485970256105883,15.927102295863742,0.08033061861185756,33.47150259067357,41.13989637305699,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",24.650997,8.8500004,0.21563178692020205,0.19664967078260237
25-4011.00,18.47531316706279,14.54242015773239,0.1352214062952662,33.36787564766839,30.88082901554404,Archivists,41.400524,85.25,0.21563178692020205,0.19664967078260237
51-4081.00,18.454724784222527,15.812654229972345,0.08354291809031748,33.26424870466321,40.72538860103627,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",28.739553,32.25,0.21563178692020205,0.19664967078260237
51-4061.00,18.44948671267942,16.61504984637444,0.055204073513666616,33.16062176165803,46.32124352331606,"Model Makers, Metal and Plastic",30.464338,43.529999,0.21563178692020205,0.19664967078260237
49-9012.00,18.44482773832113,15.983370800446924,0.07700055791126922,33.056994818652846,41.865284974093264,"Control and Valve Installers and Repairers, Except Mechanical Door",30.656612,45.290001,0.21563178692020205,0.19664967078260237
49-9011.00,18.405074433936026,14.701844997088408,0.12594437764719374,32.95336787564767,32.33160621761658,Mechanical Door Repairers,23.750572,5.6399999,0.21563178692020205,0.19664967078260237
39-5012.00,18.39462783783979,14.355153707898902,0.1406976968737775,32.84974093264249,29.015544041450777,"Hairdressers, Hairstylists, and Cosmetologists",30.19282,41.560001,0.21563178692020205,0.19664967078260237
51-5112.00,18.375815990783416,15.416228390693473,0.09598935372145236,32.74611398963731,38.23834196891192,Printing Press Operators,28.974068,33.389999,0.21563178692020205,0.19664967078260237
51-4051.00,18.34761200605144,16.62654511273535,0.05175660011284646,32.64248704663213,46.52849740932643,Metal-Refining Furnace Operators and Tenders,26.84725,20.24,0.21563178692020205,0.19664967078260237
51-4194.00,18.338440259644532,16.460995174097455,0.057027083286597655,32.538860103626945,45.284974093264246,"Tool Grinders, Filers, and Sharpeners",29.777168,38.66,0.21563178692020205,0.19664967078260237
39-9041.00,18.33497788108805,12.614397440914258,0.22674806573080278,32.43523316062176,20.82901554404145,Residential Advisors,31.834602,50.669998,0.21563178692020205,0.19664967078260237
29-2052.00,18.3226329721763,15.208797047193897,0.10236956661726652,32.33160621761658,35.95854922279793,Pharmacy Technicians,33.818115,58.130001,0.21563178692020205,0.19664967078260237
49-2021.01,18.31100609740658,15.99638201658997,0.07234836222391088,32.2279792746114,42.07253886010363,Radio Mechanics,36.139103,66.199997,0.21563178692020205,0.19664967078260237
25-1194.00,18.26429425738999,13.016425765123975,0.20158638734479176,32.12435233160622,22.590673575129532,"Vocational Education Teachers, Postsecondary",30.856758,46.220001,0.21563178692020205,0.19664967078260237
15-1131.00,18.224065970703073,15.28028560954838,0.09632609089830026,32.020725388601036,36.6839378238342,Computer Programmers,49.482174,99.220001,0.21563178692020205,0.19664967078260237
49-3051.00,18.189243197240888,16.57183945297983,0.04879976507285758,31.917098445595855,46.1139896373057,Motorboat Mechanics and Service Technicians,30.953033,46.639999,0.21563178692020205,0.19664967078260237
27-2041.04,18.18555917736755,14.791379899984646,0.11473504501721395,31.813471502590673,32.538860103626945,Music Composers and Arrangers,43.946892,91.870003,0.21563178692020205,0.19664967078260237
43-5011.01,18.177161041657705,13.409300192640226,0.17778186708186114,31.70984455958549,24.76683937823834,Freight Forwarders,41.872921,86.800003,0.21563178692020205,0.19664967078260237
49-9094.00,18.146829735378102,15.827260788284544,0.07327764981324246,31.60621761658031,40.829015544041454,Locksmiths and Safe Repairers,31.69556,49.639999,0.21563178692020205,0.19664967078260237
47-2031.01,18.07926153572529,15.212473250944106,0.09422492442520046,31.502590673575128,36.16580310880829,Construction Carpenters,24.828125,9.3699999,0.21563178692020205,0.19664967078260237
43-5061.00,18.078041012881943,14.369141693973598,0.12905778918109825,31.39896373056995,29.430051813471504,"Production, Planning, and Expediting Clerks",38.9324,76.040001,0.21563178692020205,0.19664967078260237
51-8021.00,18.070659855175535,15.30798603823551,0.09023635800423246,31.295336787564768,37.2020725388601,Stationary Engineers and Boiler Operators,30.381361,43.119999,0.21563178692020205,0.19664967078260237
