occ_code_onet,aei_usage
29-1069.11,0.0023622791269016
29-1069.12,0.0026704024912801
29-1071.00,0.0377964660304261
29-1071.01,0.0042110193131724
29-1122.00,0.0048272660419293
29-1122.01,0.047861829266789405
29-1123.00,0.0492997383005555
29-1124.00,0.0042110193131724
29-1125.00,0.011503272270129601
29-1125.01,0.07446314639146409
29-1125.02,0.0809337370434122
29-1126.00,0.0355368946916505
29-1127.00,0.0138655513970311
29-1128.00,0.11349210587940431
29-1131.00,0.0321475376834874
29-1141.00,0.0024649869150277
29-1141.01,0.044164348894247696
29-1141.02,0.1352661569621498
29-1141.03,0.1127731513625212
29-1141.04,0.06676006228200229
29-1161.00,0.0664519389176237
29-1171.00,0.1521102342148397
29-1181.00,0.0094491165076063
29-1199.01,0.0294771351922071
29-1199.04,0.0719981594764366
29-1199.05,0.0207469732014838
29-2011.00,0.0591596859606669
29-2011.01,0.0253688236671609
29-2011.02,0.0114005644820033
29-2011.03,0.016946785040815898
29-2012.00,0.09952384669424699
29-2021.00,0.0095518242957326
29-2031.00,0.029785258556585703
29-2032.00,0.0016433246100185
29-2033.00,0.044986011199257
29-2034.00,0.0074976685332094
29-2035.00,0.017254908405194502
29-2041.00,0.0023622791269016
29-2051.00,0.0716900361120581
29-2052.00,0.017357616193320602
29-2055.00,0.0016433246100185
29-2056.00,0.007189545168831
29-2061.00,0.0070868373807048
29-2071.00,0.0846312174159537
29-2091.00,0.0017460323981446
29-2092.00,0.0017460323981446
29-2099.01,0.016330538312059002
29-2099.06,0.0039028959487938998
29-9012.00,0.008524746414470999
29-9091.00,0.0168440772526898
29-9092.00,0.09212888594916341
29-9099.01,0.0669654778582547
31-1011.00,0.0076003763213356
31-1013.00,0.0038001881606677
31-1014.00,0.0096545320838587
31-2011.00,0.021774051082745403
31-2012.00,0.0017460323981446
31-9011.00,0.026704024912801
31-9092.00,0.0049299738300555
31-9094.00,0.0818581071365476
31-9095.00,0.0216713432946191
31-9096.00,0.036563972572912204
31-9097.00,0.0048272660419294
31-9099.01,0.0250607003027824
33-1011.00,0.0016433246100185
33-1012.00,0.0022595713387754
33-1021.02,0.0041083115250462
33-2011.02,0.0020541557625231
33-3012.00,0.3358544671725367
33-3021.01,0.0025676947031539
33-3021.02,0.0028758180675324
33-3021.03,0.0116059800582556
33-3021.05,0.037796466030425996
33-3021.06,0.0703548348664178
33-3031.00,0.009140993143228
33-3041.00,0.001951447974397
33-3051.01,0.0617273806638208
33-3052.00,0.0017460323981446
33-9011.00,0.0050326816181817
33-9021.00,0.0092437009313541
33-9032.00,0.0063678828638217
33-9091.00,0.0029785258556585
33-9092.00,0.0020541557625231
33-9093.00,0.0062651750756956
33-9099.02,0.0222875900233761
35-1011.00,0.0221848822352497
35-1012.00,0.0032866492200369
35-2011.00,0.0327637844122442
35-2012.00,0.0036974803725416
35-2013.00,0.0062651750756955
35-2014.00,0.084631217415954
35-2015.00,0.0047245582538032
35-2021.00,0.0222875900233762
35-3011.00,0.0157142915833019
35-3021.00,0.0080112074738403
35-3022.00,0.0047245582538032
35-3022.01,0.0055462205588124
35-3031.00,0.0108870255413725
35-3041.00,0.0067787140163264
35-9031.00,0.2690944048905339
37-1011.00,0.0725116984170673
37-1012.00,0.0700467115020397
37-2012.00,0.0065732984400741
